Publication URLs with Years:

Name: Alexander Decruyenaere
Publications:
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01H9T10E321A4AZMSCKP6M0PTW
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01HAC9MYBGKDF7SPEHWGE6EKSF
  Year: 2022, URL: http://hdl.handle.net/1854/LU-01GW4VYM6BPSD197EZXWJ7BXRX
  Year: 2022, URL: http://hdl.handle.net/1854/LU-01GW4VME125ANE923G4K133D7C
  Year: 2022, URL: http://hdl.handle.net/1854/LU-01GW4W8T033WHHKSNXA5FGWZCB

Name: Arne Burssens
Publications:
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01GRTX7SEHGX8NSDRWGRHSYS5S
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01HQWNAZ47NST74QTZ2BHW62ZG
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01JEE7YE3SGYX99DT4SB1S5GX3
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01HMRC1M49F5ZWMVPMXQW3X453
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01HQWRES2YWESXE07C314ZZT1Y
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01JCB38BKHG3WCH5YC4EQBYWZY
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01HQWTY9RY0GNEN6HGMY7P06FX
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01J7N94X980AWDX7VAKBZP01TQ
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01HQWSP20JNFV8Z9YYSW5PX6CQ
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01HXTTZ7EZNVVTY2EP47Y6Y7F8
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01HQWT9T04K3RD0D2CVE9FFQTZ
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01HKYDAYZ2P57BAKEGSAFHB0NC
  Year: 2023, URL: http://hdl.handle.net/1854/LU-8733657
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01HQWV3R96K6P1TZWPZHD0EH0W
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01GJ5M9CZHCEZQRNMTJT5RFJR6
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01HQWTSYDSJBZ2XFRWPN1TWFKR
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01HQWTEHXDEY28VDFQQG90H7ZC
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01GPGG2NB59MQ9ZH3BXRKE96KQ
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01H8GWK0J0NH2MKKAQNQRX2T70
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01HW7D2T0NR98JCJ0Z4NKN9G85
